level_0,index,borough,major_cat,minor_cat,n
970,998,Wandsworth,Drugs,Possession Of Drugs,46
971,999,Wandsworth,Fraud or Forgery,Other Fraud & Forgery,2
972,1000,Wandsworth,Other Notifiable Offences,Going Equipped,0
973,1001,Wandsworth,Other Notifiable Offences,Other Notifiable,69
974,1002,Wandsworth,Robbery,Business Property,6
975,1003,Wandsworth,Robbery,Personal Property,97
976,1004,Wandsworth,Sexual Offences,Other Sexual,54
977,1005,Wandsworth,Sexual Offences,Rape,26
978,1006,Wandsworth,Theft and Handling,Handling Stolen Goods,1
979,1007,Wandsworth,Theft and Handling,M/V Interference & Tampering,46
980,1008,Wandsworth,Theft and Handling,Other Theft,282
981,1009,Wandsworth,Theft and Handling,Theft From M/V,174
982,1010,Wandsworth,Theft and Handling,Theft From Shops,112
983,1011,Wandsworth,Theft and Handling,Theft Person,83
984,1012,Wandsworth,Theft and Handling,Theft/Taking of M/V,107
985,1013,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycles,111
986,1014,Wandsworth,Violence Against the Person,Assault with Injury,168
987,1015,Wandsworth,Violence Against the Person,Common Assault,266
988,1016,Wandsworth,Violence Against the Person,Harassment,321
989,1017,Wandsworth,Violence Against the Person,Murder,0
990,1018,Wandsworth,Violence Against the Person,Offensive Weapon,18
991,1019,Wandsworth,Violence Against the Person,Other Violence,30
992,1020,Wandsworth,Violence Against the Person,Wounding/GBH,67
993,1021,Westminster,Burglary,Burglary - Business and Community,260
994,1022,Westminster,Burglary,Burglary - Residential,157
995,1023,Westminster,Criminal Damage,Arson,4
996,1024,Westminster,Criminal Damage,Criminal Damage To M/V,73
997,1025,Westminster,Criminal Damage,Criminal Damage To Other Bldg,34
998,1026,Westminster,Criminal Damage,Criminal Damage To a Dwelling,33
999,1027,Westminster,Criminal Damage,Other Criminal Damage,60
1000,1028,Westminster,Drugs,Drug Trafficking,6
1001,1029,Westminster,Drugs,Other Drug Offences,1
1002,1030,Westminster,Drugs,Possession Of Drugs,97
1003,1031,Westminster,Fraud or Forgery,Other Fraud & Forgery,2
1004,1032,Westminster,Other Notifiable Offences,Going Equipped,3
1005,1033,Westminster,Other Notifiable Offences,Other Notifiable,89
1006,1034,Westminster,Robbery,Business Property,6
1007,1035,Westminster,Robbery,Personal Property,282
1008,1036,Westminster,Sexual Offences,Other Sexual,70
1009,1037,Westminster,Sexual Offences,Rape,52
1010,1038,Westminster,Theft and Handling,Handling Stolen Goods,2
1011,1039,Westminster,Theft and Handling,M/V Interference & Tampering,36
1012,1040,Westminster,Theft and Handling,Other Theft,1349
1013,1041,Westminster,Theft and Handling,Theft From M/V,242
1014,1042,Westminster,Theft and Handling,Theft From Shops,299
1015,1043,Westminster,Theft and Handling,Theft Person,957
1016,1044,Westminster,Theft and Handling,Theft/Taking of M/V,67
1017,1045,Westminster,Theft and Handling,Theft/Taking of Pedal Cycles,152
1018,1046,Westminster,Violence Against the Person,Assault with Injury,210
1019,1047,Westminster,Violence Against the Person,Common Assault,375
1020,1048,Westminster,Violence Against the Person,Harassment,451
1021,1049,Westminster,Violence Against the Person,Murder,0
1022,1050,Westminster,Violence Against the Person,Offensive Weapon,34
1023,1051,Westminster,Violence Against the Person,Other Violence,78
1024,1052,Westminster,Violence Against the Person,Wounding/GBH,129
